Q9BVA1	TUBB2B	tubulin beta 2B class IIb
P14416	DRD2	dopamine receptor D2
Q86V59	PNMA8A	PNMA family member 8A
Q86X02	CDR2L	cerebellar degeneration related protein 2 like
Q5VXU1	NKAIN2	sodium/potassium transporting ATPase interacting 2
Q96PD2	DCBLD2	discoidin, CUB and LCCL domain containing 2
Q5W0Q7	USPL1	ubiquitin specific peptidase like 1
O95759	TBC1D8	TBC1 domain family member 8
P0DPI3	CENPVL2	centromere protein V like 2
P12111	COL6A3	collagen type VI alpha 3 chain
Q9HBJ7	USP29	ubiquitin specific peptidase 29
Q14774	HLX	H2.0 like homeobox
Q08334	IL10RB	interleukin 10 receptor subunit beta
Q2TB18	ASTE1	asteroid homolog 1
P18089	ADRA2B	adrenoceptor alpha 2B
Q9BUR4	WRAP53	WD repeat containing antisense to TP53
Q9Y680	FKBP7	FKBP prolyl isomerase 7
Q9Y4G8	RAPGEF2	Rap guanine nucleotide exchange factor 2
Q9UIF3	TEKT2	tektin 2
A6ND91	ASPDH	aspartate dehydrogenase domain containing
Q03692	COL10A1	collagen type X alpha 1 chain
P20618	PSMB1	proteasome 20S subunit beta 1
P01706	IGLV2-11	immunoglobulin lambda variable 2-11
P25398	RPS12	ribosomal protein S12
Q8NEB9	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3
Q6NXT4	SLC30A6	solute carrier family 30 member 6
P84243	H3-3A	H3.3 histone A
O95166	GABARAP	GABA type A receptor-associated protein
Q99593	TBX5	T-box transcription factor 5
P48736	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
P09471	GNAO1	G protein subunit alpha o1
Q9H4K7	MTG2	mitochondrial ribosome associated GTPase 2
Q9UBG3	CRNN	cornulin
P14868	DARS1	aspartyl-tRNA synthetase 1
Q86TM6	SYVN1	synoviolin 1
Q8IYT3	CCDC170	coiled-coil domain containing 170
O95971	CD160	CD160 molecule
O94979	SEC31A	SEC31 homolog A, COPII coat complex component
Q8NGS4	OR13F1	olfactory receptor family 13 subfamily F member 1
Q96BM0	IFI27L1	interferon alpha inducible protein 27 like 1
P40763	STAT3	signal transducer and activator of transcription 3
Q8TCE9	LGALS14	galectin 14
Q9H1U9	SLC25A51	solute carrier family 25 member 51
Q96L12	CALR3	calreticulin 3
P61966	AP1S1	adaptor related protein complex 1 subunit sigma 1
O15263	DEFB4A	defensin beta 4A
Q9Y2I7	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing
Q16798	ME3	malic enzyme 3
O94906	PRPF6	pre-mRNA processing factor 6
A6NMZ7	COL6A6	collagen type VI alpha 6 chain
Q8N9F7	GDPD1	glycerophosphodiester phosphodiesterase domain containing 1
Q5SGD2	PPM1L	protein phosphatase, Mg2+/Mn2+ dependent 1L
Q8IYL3	C1orf174	chromosome 1 open reading frame 174
P49770	EIF2B2	eukaryotic translation initiation factor 2B subunit beta
O43316	PAX4	paired box 4
Q9Y2X3	NOP58	NOP58 ribonucleoprotein
Q8IXB3	TRARG1	trafficking regulator of GLUT4 (SLC2A4) 1
Q13635	PTCH1	patched 1
Q8NE22	SETD9	SET domain containing 9
Q8N8W4	PNPLA1	patatin like phospholipase domain containing 1
P0C025	NUDT17	nudix hydrolase 17
Q9P2F9	ZNF319	zinc finger protein 319
A6NNF4	ZNF726	zinc finger protein 726
P29144	TPP2	tripeptidyl peptidase 2
Q99707	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase
Q3SY17	SLC25A52	solute carrier family 25 member 52
Q02318	CYP27A1	cytochrome P450 family 27 subfamily A member 1
A0AVK6	E2F8	E2F transcription factor 8
Q9H2L5	RASSF4	Ras association domain family member 4
Q01959	SLC6A3	solute carrier family 6 member 3
Q12849	GRSF1	G-rich RNA sequence binding factor 1
Q8NGN0	OR4D5	olfactory receptor family 4 subfamily D member 5
Q14691	GINS1	GINS complex subunit 1
Q16206	ENOX2	ecto-NOX disulfide-thiol exchanger 2
P62910	RPL32	ribosomal protein L32
Q5T619	ZNF648	zinc finger protein 648
Q9BSK2	SLC25A33	solute carrier family 25 member 33
Q8TAQ5	ZNF420	zinc finger protein 420
Q96S96	PEBP4	phosphatidylethanolamine binding protein 4
P23508	MCC	MCC regulator of WNT signaling pathway
P12883	MYH7	myosin heavy chain 7
Q969M2	GJA10	gap junction protein alpha 10
O14657	TOR1B	torsin family 1 member B
P78356	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta
Q9Y5P8	PPP2R3B	protein phosphatase 2 regulatory subunit B''beta
O15079	SNPH	syntaphilin
Q9P2J2	IGSF9	immunoglobulin superfamily member 9
P17535	JUND	JunD proto-oncogene, AP-1 transcription factor subunit
Q8IW70	TMEM151B	transmembrane protein 151B
A3KN83	SBNO1	strawberry notch homolog 1
P01584	IL1B	interleukin 1 beta
Q86V71	ZNF429	zinc finger protein 429
Q15375	EPHA7	EPH receptor A7
Q8NEQ6	SRARP	steroid receptor associated and regulated protein
Q9Y6E0	STK24	serine/threonine kinase 24
O15397	IPO8	importin 8
Q2VPJ9	LRRC75B	leucine rich repeat containing 75B
Q9HA47	UCK1	uridine-cytidine kinase 1
A8MXZ3	KRTAP9-1	keratin associated protein 9-1
Q5W0A0	ERICH6B	glutamate rich 6B
Q8WZ92	OR5P2	olfactory receptor family 5 subfamily P member 2
Q6ZU67	BEND4	BEN domain containing 4
A6NMX2	EIF4E1B	eukaryotic translation initiation factor 4E family member 1B
P01611	IGKV1D-12	immunoglobulin kappa variable 1D-12
P02511	CRYAB	crystallin alpha B
P14316	IRF2	interferon regulatory factor 2
Q7Z7M0	MEGF8	multiple EGF like domains 8
O60412	OR7C2	olfactory receptor family 7 subfamily C member 2
P57729	RAB38	RAB38, member RAS oncogene family
A0A183	LCE6A	late cornified envelope 6A
Q9C0H2	TTYH3	tweety family member 3
P47871	GCGR	glucagon receptor
P01270	PTH	parathyroid hormone
Q9H2B4	SLC26A1	solute carrier family 26 member 1
Q9NR00	TCIM	transcriptional and immune response regulator
Q9BYQ9	KRTAP4-8	keratin associated protein 4-8
Q14590	ZNF235	zinc finger protein 235
Q8NGT5	OR9A2	olfactory receptor family 9 subfamily A member 2
Q14166	TTLL12	tubulin tyrosine ligase like 12
D6RBM5	USP17L23	ubiquitin specific peptidase 17 like family member 23
Q9Y6Q1	CAPN6	calpain 6
Q9BS86	ZPBP	zona pellucida binding protein
Q9P126	CLEC1B	C-type lectin domain family 1 member B
O75795	UGT2B17	UDP glucuronosyltransferase family 2 member B17
Q13554	CAMK2B	calcium/calmodulin dependent protein kinase II beta
O00478	BTN3A3	butyrophilin subfamily 3 member A3
O15514	POLR2D	RNA polymerase II subunit D
Q5T0Z8	C6orf132	chromosome 6 open reading frame 132
Q9H3H1	TRIT1	tRNA isopentenyltransferase 1
Q16763	UBE2S	ubiquitin conjugating enzyme E2 S
Q92844	TANK	TRAF family member associated NFKB activator
Q9NWU2	GID8	GID complex subunit 8 homolog
Q96I99	SUCLG2	succinate-CoA ligase GDP-forming subunit beta
P40394	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
Q70YC5	ZNF365	zinc finger protein 365
P06280	GLA	galactosidase alpha
P37840	SNCA	synuclein alpha
Q96DR5	BPIFA2	BPI fold containing family A member 2
Q8N8G2	VGLL2	vestigial like family member 2
Q9BTL3	RAMAC	RNA guanine-7 methyltransferase activating subunit
Q8IVF7	FMNL3	formin like 3
P01909	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1
Q6V9R5	ZNF562	zinc finger protein 562
Q9Y2L1	DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease
Q9Y231	FUT9	fucosyltransferase 9
Q6V1P9	DCHS2	dachsous cadherin-related 2
