targetId	diseaseId	datasourceId	year	novelty	score	sourceId	targetSymbol	targetName	targetBiotype	proteinId	isInMembrane	isSecreted	hasSafetyEvent	hasPocket	hasLigand	hasSmallMoleculeBinder	geneticConstraint	paralogMaxIdentityPercentage	mouseOrthologMaxIdentityPercentage	isCancerDriverGene	hasTEP	mouseKOScore	hasHighQualityChemicalProbes	maxClinicalTrialPhase	tissueSpecificity	tissueDistribution
ENSG00000178623	EFO_0003767	impc	2023	0.071	0.598	impc	GPR35	G protein-coupled receptor 35	protein_coding	Q9HC97	1.0	0.0		0.0	1.0	1.0	0.6208585121900396	0.0	0.0			-0.5916851843148718	1.0		0.5	0.0
ENSG00000198589	EFO_0003767	impc	2023	0.016	0.917	impc	LRBA	LPS responsive beige-like anchor protein	protein_coding	P50851	0.0	0.0		1.0	0.0	0.0	-0.6050218795582414	-0.10589000000000012	0.5196350000000003			-0.30983636789943814			-1.0	-1.0
ENSG00000064651	EFO_0003767	impc	2023	0.008	0.455	impc	SLC12A2	solute carrier family 12 member 2	protein_coding	P55011	1.0	0.0		0.0	0.0	1.0	-0.7413002708897687	0.0	0.6947200000000002			-0.9241788374436629			0.5	-1.0
ENSG00000162722	EFO_0003767	impc	2023	0.015	0.832	impc	TRIM58	tripartite motif containing 58	protein_coding	Q8NG06				0.0	0.0	0.0	0.6588872681808711	0.0	0.0			-0.13681090222700393			0.75	0.5
ENSG00000176994	EFO_0003767	impc	2023	0.002	0.875	impc	SMCR8	SMCR8-C9orf72 complex subunit	protein_coding	Q8TEV9	0.0	0.0		0.0	0.0	0.0	-0.3137111898312148		0.48772499999999963			-0.22969570902834496			-1.0	-1.0
ENSG00000102158	EFO_0003767	impc	2023	0.001	0.26	impc	MAGT1	magnesium transporter 1	protein_coding	Q9H0U3	1.0	0.0		0.0	0.0	0.0	-0.7196290893936237	-0.1716425000000001	0.6865650000000002			0.0			-1.0	-1.0
ENSG00000182150	EFO_0003767	impc	2023	0.034	0.289	impc	ERCC6L2	ERCC excision repair 6 like 2	protein_coding	Q5T890	0.0	0.0		0.0	0.0	0.0	-0.29214419670764746					0.0			-1.0	-1.0
ENSG00000176658	EFO_0003767	impc	2023	0.002	0.916	impc	MYO1D	myosin ID	protein_coding	O94832	0.0	0.0		0.0	0.0	0.0	-0.25338612210877265	-0.020875000000000022	0.8856850000000002			-0.523271680179293			0.5	-1.0
ENSG00000167483	EFO_0003767	impc	2023	0.007	0.391	impc	NIBAN3	niban apoptosis regulator 3	protein_coding	Q86XR2	0.0	0.0		0.0	0.0	0.0	0.2429672848510107	0.0	0.0			0.0			0.75	0.5
ENSG00000143870	EFO_0003767	impc	2023	0.033	0.276	impc	PDIA6	protein disulfide isomerase family A member 6	protein_coding	Q15084	0.0	0.0		0.0	0.0	1.0	-0.5311523234007085	0.0	0.761365			-0.3123243218737365			-1.0	-1.0
ENSG00000198643	EFO_0003767	impc	2023	0.001	0.461	impc	FAM3D	FAM3 metabolism regulating signaling molecule D	protein_coding	Q96BQ1	0.0	1.0		0.0	0.0	0.0	0.08585121900395909	0.0	0.0			-0.6821563534995075			0.75	0.0
ENSG00000128340	EFO_0003767	impc	2023	0.002	0.421	impc	RAC2	Rac family small GTPase 2	protein_coding	P15153	0.0	0.0	-1.0	0.0	0.0	0.0	-0.780162533861221	-0.8046875	0.9479149999999997			-0.8514742257232041			0.75	0.0
ENSG00000139636	EFO_0003767	impc	2023	0.008	0.42	impc	LMBR1L	limb development membrane protein 1 like	protein_coding	Q6UX01	1.0	0.0		0.0	0.0	0.0	0.19306105438633048	0.0	0.7750500000000002			0.0			-1.0	-1.0
